codigo_ibge;municipio_uf;periodo;area_km2
1100015;Alta Floresta D'Oeste - RO;2010;7067.0
1100023;Ariquemes - RO;2010;4426.6
1100031;Cabixi - RO;2010;1314.4
1100049;Cacoal - RO;2010;3792.8
1100056;Cerejeiras - RO;2010;2783.3
1100064;Colorado do Oeste - RO;2010;1451.1
1100072;Corumbiara - RO;2010;3060.3
1100080;Costa Marques - RO;2010;4987.2
1100098;Espigão D'Oeste - RO;2010;4518.0
1100106;Guajará-Mirim - RO;2010;24855.8
1100114;Jaru - RO;2010;2944.1
1100122;Ji-Paraná - RO;2010;6896.7
1100130;Machadinho D'Oeste - RO;2010;8509.3
1100148;Nova Brasilândia D'Oeste - RO;2010;1155.4
1100155;Ouro Preto do Oeste - RO;2010;1969.9
1100189;Pimenta Bueno - RO;2010;6240.9
1100205;Porto Velho - RO;2010;34096.4
1100254;Presidente Médici - RO;2010;1758.5
1100262;Rio Crespo - RO;2010;1717.6
1100288;Rolim de Moura - RO;2010;1457.9
1100296;Santa Luzia D'Oeste - RO;2010;1197.8
1100304;Vilhena - RO;2010;11519.0
1100320;São Miguel do Guaporé - RO;2010;8007.9
1100338;Nova Mamoré - RO;2010;10071.7
1100346;Alvorada D'Oeste - RO;2010;3029.2
1100379;Alto Alegre dos Parecis - RO;2010;3958.3
1100403;Alto Paraíso - RO;2010;2651.8
1100452;Buritis - RO;2010;3265.8
1100502;Novo Horizonte do Oeste - RO;2010;843.4
1100601;Cacaulândia - RO;2010;1961.8
1100700;Campo Novo de Rondônia - RO;2010;3442.0
1100809;Candeias do Jamari - RO;2010;6843.9
1100908;Castanheiras - RO;2010;892.8
1100924;Chupinguaia - RO;2010;5126.7
1100940;Cujubim - RO;2010;3863.9
1101005;Governador Jorge Teixeira - RO;2010;5067.4
1101104;Itapuã do Oeste - RO;2010;4081.6
1101203;Ministro Andreazza - RO;2010;798.1
1101302;Mirante da Serra - RO;2010;1191.9
1101401;Monte Negro - RO;2010;1931.4
1101435;Nova União - RO;2010;807.1
1101450;Parecis - RO;2010;2548.7
1101468;Pimenteiras do Oeste - RO;2010;6014.7
1101476;Primavera de Rondônia - RO;2010;605.7
1101484;São Felipe D'Oeste - RO;2010;541.6
1101492;São Francisco do Guaporé - RO;2010;10959.8
1101500;Seringueiras - RO;2010;3773.5
1101559;Teixeirópolis - RO;2010;460.0
1101609;Theobroma - RO;2010;2197.4
1101708;Urupá - RO;2010;831.9
1101757;Vale do Anari - RO;2010;3135.1
1101807;Vale do Paraíso - RO;2010;965.7
1200013;Acrelândia - AC;2010;1807.9
1200054;Assis Brasil - AC;2010;4974.2
1200104;Brasiléia - AC;2010;3916.5
1200138;Bujari - AC;2010;3034.8
1200179;Capixaba - AC;2010;1702.6
1200203;Cruzeiro do Sul - AC;2010;8779.2
1200252;Epitaciolândia - AC;2010;1654.8
1200302;Feijó - AC;2010;27974.6
1200328;Jordão - AC;2010;5357.3
