codigo_ibge;municipio_uf;periodo;populacao
1100015;Alta Floresta D'Oeste - RO;2024;22853
1100023;Ariquemes - RO;2024;108573
1100031;Cabixi - RO;2024;5690
1100049;Cacoal - RO;2024;97637
1100056;Cerejeiras - RO;2024;16975
1100064;Colorado do Oeste - RO;2024;16588
1100072;Corumbiara - RO;2024;8001
1100080;Costa Marques - RO;2024;13522
1100098;Espigão D'Oeste - RO;2024;32717
1100106;Guajará-Mirim - RO;2024;43553
1100114;Jaru - RO;2024;55583
1100122;Ji-Paraná - RO;2024;139359
1100130;Machadinho D'Oeste - RO;2024;34063
1100148;Nova Brasilândia D'Oeste - RO;2024;16504
1100155;Ouro Preto do Oeste - RO;2024;38681
1100189;Pimenta Bueno - RO;2024;39053
1100205;Porto Velho - RO;2024;514873
1100254;Presidente Médici - RO;2024;20518
1100262;Rio Crespo - RO;2024;3753
1100288;Rolim de Moura - RO;2024;62559
1100296;Santa Luzia D'Oeste - RO;2024;7877
1100304;Vilhena - RO;2024;108528
1100320;São Miguel do Guaporé - RO;2024;22267
1100338;Nova Mamoré - RO;2024;28496
1100346;Alvorada D'Oeste - RO;2024;13837
1100379;Alto Alegre dos Parecis - RO;2024;12263
1100403;Alto Paraíso - RO;2024;17463
1100452;Buritis - RO;2024;30729
1100502;Novo Horizonte do Oeste - RO;2024;8056
1100601;Cacaulândia - RO;2024;4345
1100700;Campo Novo de Rondônia - RO;2024;9225
1100809;Candeias do Jamari - RO;2024;24163
1100908;Castanheiras - RO;2024;3456
1100924;Chupinguaia - RO;2024;10129
1100940;Cujubim - RO;2024;15883
1101005;Governador Jorge Teixeira - RO;2024;8420
1101104;Itapuã do Oeste - RO;2024;9209
1101203;Ministro Andreazza - RO;2024;6657
1101302;Mirante da Serra - RO;2024;9740
1101401;Monte Negro - RO;2024;12241
1101435;Nova União - RO;2024;6577
1101450;Parecis - RO;2024;4390
1101468;Pimenteiras do Oeste - RO;2024;2311
1101476;Primavera de Rondônia - RO;2024;3279
1101484;São Felipe D'Oeste - RO;2024;5605
1101492;São Francisco do Guaporé - RO;2024;17511
1101500;Seringueiras - RO;2024;12954
1101559;Teixeirópolis - RO;2024;4536
1101609;Theobroma - RO;2024;8540
1101708;Urupá - RO;2024;11377
1101757;Vale do Anari - RO;2024;8265
1101807;Vale do Paraíso - RO;2024;6843
1200013;Acrelândia - AC;2024;14657
1200054;Assis Brasil - AC;2024;8573
